Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
"Boult Audio ProBass Curve Neckband Bluetooth Headset  (Black, Grey, In the Ear)",3499.0,899.0,Boult,Curve Wireless Neckband Magnetic Earphone With Mic,"Black, Grey",In Ear,Bluetooth
"Noise Buds Combat with 45 Hours Playtime, Ultra-low Latency(40ms), Quad Mic ENC Gaming Bluetooth Headset  (Covert white, True Wireless)",3999.0,1799.0,Noise,Buds Combat,Covert white,In Ear,Bluetooth
"ZEBRONICS ZEB-HARK Wired Headset  (Black, In the Ear)",349.0,270.0,ZEBRONICS,ZEB-HARK,Black,In Ear,Wired
"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast Charge Bluetooth Headset  (Charcoal Black, True Wireless)",3499.0,1099.0,Noise,Buds VS202 Truly Wireless,Charcoal Black,In Ear,Bluetooth
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Chill Grey, True Wireless)",7499.0,2699.0,Skullcandy,s2dmw-p744,Chill Grey,In Ear,Bluetooth
"Wings Phantom 550, Gaming TWS Earbuds, 45hr Playtime, Touch Controls Bluetooth Gaming Headset  (Black, True Wireless)",2999.0,1299.0,Wings,Phantom 550,Black,In Ear,Bluetooth
"PTron Basspods P81 Pro Bluetooth Headset  (White, True Wireless)",3999.0,1749.0,PTron,Basspods P81 Pro,White,In Ear,Bluetooth
"PTron Basspods Flare, 40ms Gaming TWS Earbuds, 35hrs Playtime, Clear Calls & Deep Bass Bluetooth Headset  (Black, In the Ear)",3199.0,899.0,PTron,Basspods Flare,Black,In Ear,Bluetooth
"Portronics Harmonics Twins S3 Blurtooth Earbuds with upto 20 Hours Playback, 8mm Drivers Bluetooth Headset  (White, True Wireless)",1999.0,1499.0,Portronics,Harmonics Twins S3,White,In Ear,Bluetooth
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Pearl White, True Wireless)",2999.0,999.0,Noise,Buds VS102 Truly Wireless,Pearl White,In Ear,Bluetooth
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Golden Red, True Wireless)",7499.0,2685.0,Skullcandy,S2DMW-P752,Golden Red,In Ear,Bluetooth
"PTron InTunes Beats Bluetooth Headset  (Black, Red, In the Ear)",2499.0,849.0,PTron,InTunes Beats,"Black, Red",In Ear,Bluetooth
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Celeste Blue, True Wireless)",2999.0,1199.0,Noise,Buds VS102 Truly Wireless,Celeste Blue,In Ear,Bluetooth
"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Blue, In the Ear)",2699.0,983.0,PTron,InTunes Ultima,"Black, Blue",In Ear,Bluetooth
"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast Charge Bluetooth Headset  (Midnight Blue, True Wireless)",3499.0,1099.0,Noise,Buds VS202 Truly Wireless,Midnight Blue,In Ear,Bluetooth
"ZEBRONICS Zeb- Bro Plus Wired Headset  (Black, In the Ear)",349.0,298.0,ZEBRONICS,Zeb- Bro Plus,Black,In Ear,Wired
"Noise Buds Combat with 45 Hours Playtime, Ultra-low Latency(40ms), Quad Mic ENC Gaming Bluetooth Headset  (Shadow grey, True Wireless)",3999.0,1799.0,Noise,Buds Combat,Shadow grey,In Ear,Bluetooth
"Skullcandy Indy Evo Bluetooth Headset  (Black, True Wireless)",12999.0,6499.0,Skullcandy,Indy Evo,Black,In Ear,Bluetooth
"Portronics Harmonics X1 Sports Bluetooth Headset  (Black, In the Ear)",1999.0,1445.0,Portronics,Harmonics X1 Sports,Black,In Ear,Bluetooth
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (White, True Wireless)",5999.0,999.0,Boult,AirBass GearPods,White,In Ear,Bluetooth
"Portronics HARMONICS RWINS S3 Smart TWS Bluetooth 5.2 Earbuds with 20 Hrs Playtime Bluetooth Headset  (Black, In the Ear)",1999.0,1299.0,Portronics,HARMONICS RWINS S3 Smart TWS Bluetooth 5.2 Earbuds with 20 Hrs Playtime,Black,In Ear,Bluetooth
"ZEBRONICS 8 bit Gaming Headphone Wired Gaming Headset  (Black, On the Ear)",1999.0,949.0,ZEBRONICS,8 bit Gaming Headphone,Black,On Ear,Wired
"Portronics Conch 80 In Ear Wired Headset  (Red, In the Ear)",599.0,589.0,Portronics,Conch 80 In Ear,Red,In Ear,Wired
"Skullcandy Cassette Wireless Bluetooth Headset  (Black, On the Ear)",3999.0,2699.0,Skullcandy,Cassette Wireless,Black,On Ear,Bluetooth
"ZEBRONICS ZEB-HARK Wired Headset  (Black, In the Ear)",349.0,270.0,ZEBRONICS,ZEB-HARK,Black,In Ear,Wired
"Noise Beads with 18hrs of playtime, HyperSync, IPX5 and Bluetooth v5.1 Bluetooth Headset  (Onyx Black, True Wireless)",3499.0,1399.0,Noise,Beads Truly Wireless,Onyx Black,In Ear,Bluetooth
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (Black, True Wireless)",4999.0,1499.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",Black,In Ear,Bluetooth
"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC, Movie Mode Bluetooth Headset  (White, True Wireless)",3999.0,999.0,PTron,Basspods P251+,White,In Ear,Bluetooth
"Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset  (Blue, True Wireless)",4999.0,999.0,Boult,XPods,Blue,In Ear,Bluetooth
"ZEBRONICS ZEB-CALYX earphone Wired Headset  (Black, In the Ear)",399.0,280.0,ZEBRONICS,ZEB-CALYX earphone,Black,In Ear,Wired
"ZEBRONICS ZEB-CALYX Wired Headset  (White, In the Ear)",399.0,299.0,ZEBRONICS,ZEB-CALYX,White,In Ear,Wired
"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Type-C Bluetooth Headset  (White, True Wireless)",5999.0,1499.0,Boult,Airbass XPods Pro,White,In Ear,Bluetooth
"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast Charge Bluetooth Headset  (Mint Green, True Wireless)",3499.0,1099.0,Noise,Buds VS202 Truly Wireless,Mint Green,In Ear,Bluetooth
"Skullcandy Indy Evo True Bluetooth Headset  (Pure mint, True Wireless)",12999.0,5899.0,Skullcandy,Indy Evo True,Pure mint,In Ear,Bluetooth
"Noise Beads with 18hrs of playtime, HyperSync, IPX5 and Bluetooth v5.1 Bluetooth Headset  (Pearl White, True Wireless)",3499.0,1399.0,Noise,Beads Truly Wireless,Pearl White,In Ear,Bluetooth
"ZEBRONICS Zeb Sound Bomb 6 Bluetooth Headset  (Black, True Wireless)",2999.0,2145.0,ZEBRONICS,Zeb Sound Bomb 6,Black,In Ear,Bluetooth
"Skullcandy Grind True Wireless Earbuds, Voice Control Bluetooth Headset  (Black, In the Ear)",12999.0,6999.0,Skullcandy,"Grind True Wireless Earbuds, Voice Control",Black,In Ear,Bluetooth
"ZEBRONICS ZEB-BANG Bluetooth Headset  (Orange, On the Ear)",1599.0,1450.0,ZEBRONICS,ZEB-BANG,Orange,On Ear,Bluetooth
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Molten Orange, On the Ear)",3490.0,1199.0,boAt,Rockerz 510 / Rockerz 518,Molten Orange,On Ear,Bluetooth
"Wings Phantom 205 Neck band with touch controls Bluetooth Gaming Headset  (Grey, In the Ear)",2999.0,899.0,Wings,Phantom 205 Neck band with touch controls,Grey,In Ear,Bluetooth
"boAt Rockerz 255 Arc with ENx Technology and upto 30 Hours Playback Bluetooth Headset  (Fern Green, In the Ear)",2990.0,1299.0,boAt,Rockerz 255 Arc,Fern Green,In Ear,Bluetooth
"boAt Rockerz 255 Arc with ENx Technology, Quick Switch Button & 30 HRS Playback Bluetooth Headset  (Wave Blue, In the Ear)",2990.0,1299.0,boAt,Rockerz 255 Arc,Wave Blue,In Ear,Bluetooth
"Skullcandy Hesh ANC Bluetooth Headset  (Black, On the Ear)",19999.0,11194.0,Skullcandy,Hesh ANC,Black,On Ear,Bluetooth
"Boult Audio AirBass GearPods with 32H Playtime Bluetooth Headset  (White, True Wireless)",5999.0,999.0,Boult,AirBass GearPods,White,In Ear,Bluetooth
"PTron Boom Gaming Wired Gaming Headset  (Black, In the Ear)",1699.0,699.0,PTron,Boom Gaming,Black,In Ear,Wired
"PTron Pride Lite HBE Wired Headset  (Black, In the Ear)",899.0,399.0,PTron,Pride Lite HBE,Black,In Ear,Wired
"ZEBRONICS Zeb Yoga 4 Bluetooth Headset  (Black, Yellow, True Wireless)",1399.0,999.0,ZEBRONICS,Zeb Yoga 4,"Black, Yellow",In Ear,Bluetooth
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Molten Orange, On the Ear)",3490.0,1199.0,boAt,Rockerz 510 / Rockerz 518,Molten Orange,On Ear,Bluetooth
"ZEBRONICS Zeb Duke 1 Wireless Headphone with Mic Bluetooth Headset  (Red, On the Ear)",2499.0,999.0,ZEBRONICS,Zeb-Duke 1,Red,On Ear,Bluetooth
"PTron Bassbuds Xtreme, Gaming TWS Earbuds, 32hrs Playtime, Clear Calls, Pinch Control Bluetooth Headset  (Grey & Black, In the Ear)",4599.0,1299.0,PTron,Bassbuds Xtreme,Grey & Black,In Ear,Bluetooth
"Skullcandy Jib Headset with mic  (White, In the Ear)",999.0,799.0,Skullcandy,S2DUYK-441 JIB,White,In Ear,Wired
"(Refurbished) Ptron Twinspro Bluetooth Headset with Mic  (Black, In the Ear)",,,(Refurbished),Twinspro,Black,In Ear,Bluetooth
"PTron Bassbuds Epic, 40ms Gaming TWS Earbuds, 35hrs Playtime, ENC Calls, Touch Control Bluetooth Headset  (Black, In the Ear)",3199.0,1299.0,PTron,Bassbuds Epic,Black,In Ear,Bluetooth
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (Brown, In the Ear)",4999.0,1499.0,Boult,Airbass Z40,Brown,In Ear,Bluetooth
"Noise Buds VS304 with 35 Hours Playtime, Instacharge, 13mm Driver, and Half in-ear Bluetooth Headset  (Pearl White, True Wireless)",2999.0,1099.0,Noise,Buds VS304,Pearl White,In Ear,Bluetooth
"ZEBRONICS Zeb-Buds C2 Wired Headset  (Red, In the Ear)",699.0,573.0,ZEBRONICS,Zeb-Buds C2,Red,In Ear,Wired
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Red, In the Ear)",4499.0,799.0,Boult,ProBass EQCharge,Red,In Ear,Bluetooth
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Viper Green, On the Ear)",3490.0,1199.0,boAt,Rockerz 510 / Rockerz 518,Viper Green,On Ear,Bluetooth
"boAt Rockerz 235 Pro with upto 20 Hours Playback and ASAP Charge Bluetooth Headset  (Ash Grey, In the Ear)",2490.0,999.0,boAt,Rockerz 235 Pro,Ash Grey,In Ear,Bluetooth
"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Technology, and HyperSync Bluetooth Headset  (Jet Black, True Wireless)",2999.0,999.0,Noise,Air Buds Mini Truly Wireless,Jet Black,In Ear,Bluetooth
"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC, Movie Mode Bluetooth Headset  (Black, True Wireless)",3999.0,999.0,PTron,Basspods P251+,Black,In Ear,Bluetooth
"Wings Phantom 850 Wireless Earbuds, 50 hrsPlaytime, Quad ENC Mic & App Support Bluetooth Gaming Headset  (Black, In the Ear)",2999.0,1499.0,Wings,Phantom 850,Black,In Ear,Bluetooth
"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast Charging, Pro+ Calling, Type C, IPX5 Water Resistant, Bluetooth v5.1, Voice Assistant Bluetooth Headset  (Black, True Wireless)",5499.0,1399.0,Boult,airbass y1 wireless earphones,Black,In Ear,Bluetooth
"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Snow White, True Wireless)",3999.0,1599.0,Noise,Buds�VS204,Snow White,In Ear,Bluetooth
"Boult Audio Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On Bluetooth Headset  (White, True Wireless)",4999.0,1599.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,In Ear,Bluetooth
"ZEBRONICS ZEB-YOGA N1 Wireless Earphones with ENC, Gaming Mode, up to 20H playback. Bluetooth Gaming Headset  (Blue, In the Ear)",2999.0,1099.0,ZEBRONICS,"ZEB-YOGA N1 Wireless Earphones with ENC, Gaming Mode, up to 20H playback.",Blue,In Ear,Bluetooth
"boAt Rockerz 333ANC with Crystal Bionic Sound,13mm Drivers &Active Noise Cancellation Bluetooth Headset  (Stellar Black, In the Ear)",4990.0,1999.0,boAt,Rockerz 333ANC,Stellar Black,In Ear,Bluetooth
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Jet Black, True Wireless)",2999.0,1099.0,Noise,Buds VS102 Truly Wireless,Jet Black,In Ear,Bluetooth
"Skullcandy Dime 2 Bluetooth Headset  (Blue, Green, True Wireless)",7999.0,2699.0,Skullcandy,S2DBW-P750,"Blue, Green",In Ear,Bluetooth
"PTron Bassbuds Verse TWS Earbuds, 40H Playtime, ENC Calls, Deep Bass, BT5.3,TypeC,IPX4 Bluetooth Headset  (Grey, In the Ear)",4599.0,999.0,PTron,Bassbuds Verse,Grey,In Ear,Bluetooth
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Orange, True Wireless)",7499.0,2499.0,Skullcandy,S2DMW-P754,Orange,In Ear,Bluetooth
"Noise Nerve Neckband with 25 Hours of Playtime, 10mm Driver, Instacharge, and IPX5 Bluetooth Headset  (Mist Grey, In the Ear)",2499.0,899.0,Noise,Nerve Neckband,Mist Grey,In Ear,Bluetooth
"Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset  (White, True Wireless)",4999.0,999.0,Boult,Xpods Wireless Earphones,White,In Ear,Bluetooth
"PTron Soundster Arcade Gaming Wired Headphones with Adjustable HD Mic, Hi-Fi Stereo Sound, Ergonomic Headset with Volume Control, 3.5mm Aux and 1.3 Meter Long Tangle-free Cable Wired Gaming Headset  (Black, On the Ear)",1299.0,699.0,PTron,Soundster Arcade,Black,On Ear,Wired
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Forest Green, True Wireless)",3999.0,1499.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Forest Green,In Ear,Bluetooth
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Pure Mint, In the Ear)",2499.0,1499.0,Skullcandy,Jib Plus Wireless,Pure Mint,In Ear,Bluetooth
"Portronics POR-1071 Conch Beta Wired Headset  (Black, In the Ear)",599.0,418.0,Portronics,"CONCH BETA, POR 1071",Black,In Ear,Wired
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Blue, In the Ear)",4499.0,799.0,Boult,ProBass EQCharge,Blue,In Ear,Bluetooth
"Boult Audio ProBass Curve Neckband Bluetooth Headset  (Blue, Black, Grey, In the Ear)",3499.0,899.0,Boult,Curve Wireless Neckband Magnetic Earphone With Mic,"Blue, Black, Grey",In Ear,Bluetooth
"Portronics POR-1156 Harmonics 224 Bluetooth Headset  (Black, In the Ear)",1499.0,799.0,Portronics,POR-1156 Harmonics 224,Black,In Ear,Bluetooth
"boAt Rockerz 235 Pro with upto 20 Hours Playback and ASAP Charge Bluetooth Headset  (Furious Blue, In the Ear)",1990.0,1299.0,boAt,Rockerz 235 Pro,Furious Blue,In Ear,Bluetooth
"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Red, In the Ear)",4999.0,1099.0,Boult,ProBassXcharge Red,Red,In Ear,Bluetooth
"ZEBRONICS ZEB-CALYX Wired Headset  (White, In the Ear)",399.0,299.0,ZEBRONICS,ZEB-CALYX,White,In Ear,Wired
"ZEBRONICS Zeb-Buds C2 Wired Headset  (Blue, In the Ear)",699.0,599.0,ZEBRONICS,Zeb-Buds C2,Blue,In Ear,Wired
"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Teal Blue, In the Ear)",4999.0,999.0,Boult,ProBass XCharge,Teal Blue,In Ear,Bluetooth
"ZEBRONICS ZEB-BRO Headset with Mic Wired Headset  (White, In the Ear)",399.0,299.0,ZEBRONICS,ZEB-BRO Headset with Mic,White,In Ear,Wired
"Noise Nerve Pro with upto 35hrs of playtime, ESR, Instacharge and Bluetooth v5.2 Bluetooth Headset  (Jet Black, In the Ear)",2799.0,1199.0,Noise,Nerve Pro Neckband,Jet Black,In Ear,Bluetooth
"PTron Tangent Beat Bluetooth Headset  (Green, In the Ear)",2499.0,1399.0,PTron,Tangent Beat,Green,In Ear,Bluetooth
"Skullcandy CrusherEvo Bluetooth Headset  (Chill Grey, On the Ear)",27999.0,16203.0,Skullcandy,CrusherEvo,Chill Grey,On Ear,Bluetooth
"Noise Buds VS102 with 14 Hours Playtime, 11mm Driver, IPX5, and Unique Flybird Design Bluetooth Headset  (Jet Black, True Wireless)",2999.0,1099.0,Noise,Buds VS102 Truly Wireless,Jet Black,In Ear,Bluetooth
"Noise Buds VS204 with 50 Hours Playtime, Instacharge, ESR, 10mm Driver, and HyperSync Bluetooth Headset  (Jet Black, True Wireless)",3999.0,1599.0,Noise,Buds�VS204,Jet Black,In Ear,Bluetooth
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Royal Blue, In the Ear)",2990.0,1299.0,boAt,Airdopes 131 Pro,Royal Blue,In Ear,Bluetooth
"boAt Rockerz 255F Pro with Fast Charging Bluetooth Headset  (Navy Blue, In the Ear)",3499.0,1381.0,boAt,Rockerz 255F Pro / Rockerz 255 Pro,Navy Blue,In Ear,Bluetooth
"Skullcandy Dime 2 Bluetooth Headset  (Black, True Wireless)",7999.0,2619.0,Skullcandy,S2DBW-P740,Black,In Ear,Bluetooth
"Boult Audio AirBass Z40 with ZEN ENC Mic, 60H Playtime, Low Latency Bluetooth Headset  (White, In the Ear)",4999.0,1499.0,Boult,Airbass Z40,White,In Ear,Bluetooth
"PTron Bassbud Bluetooth Gaming Headset  (Black, True Wireless)",3699.0,1499.0,PTron,Bassbud,Black,In Ear,Bluetooth
"Portronics Muffs M1 Wireless with Long Playtime Bluetooth Headset  (Black, On the Ear)",2499.0,1699.0,Portronics,Muffs M1 Wireless with Long Playtime,Black,On Ear,Bluetooth
"Wings Phantom 760 Wireless Earphones with Low Latency, Bullet ChargeTM & App Support Bluetooth Gaming Headset  (Black, In the Ear)",2999.0,1399.0,Wings,Phantom 760,Black,In Ear,Bluetooth
"ZEBRONICS Zeb-Iron Head Wired Gaming Headset  (Black, On the Ear)",2799.0,1049.0,ZEBRONICS,Zeb-Iron Head,Black,On Ear,Wired
"Skullcandy Indy Evo True Bluetooth Headset  (Pure mint, True Wireless)",12999.0,5899.0,Skullcandy,Indy Evo True,Pure mint,In Ear,Bluetooth
"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Teal Blue, In the Ear)",4999.0,999.0,Boult,ProBass XCharge,Teal Blue,In Ear,Bluetooth
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Electric Yellow, In the Ear)",2499.0,1499.0,Skullcandy,Jib Plus Wireless,Electric Yellow,In Ear,Bluetooth
"PTron Basspods P681 TWS Earbuds, 28H Playtime, ENC Calls, Deep Bass, BT5.3, TypeC,IPX4 Bluetooth Headset  (Black, In the Ear)",3199.0,999.0,PTron,Basspods P681,Black,In Ear,Bluetooth
"ZEBRONICS ZEB-PARADISE Bluetooth Headset  (Green, True Wireless)",1199.0,999.0,ZEBRONICS,ZEB-PARADISE,Green,In Ear,Bluetooth
"boAt Bassheads 103 Wired Headset  (Mint Green, In the Ear)",1290.0,499.0,boAt,Bassheads 103,Mint Green,In Ear,Wired
"boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset  (Teal Green, In the Ear)",2490.0,1599.0,boAt,Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Teal Green,In Ear,Bluetooth
"Skullcandy Jib Plus Wireless Bluetooth Headset  (Blue, In the Ear)",2499.0,1499.0,Skullcandy,S2JPW-M101,Blue,In Ear,Bluetooth
"Noise Air Buds 2 with 40 Hours Playtime, 13mm Driver, Quad Mic with ENC, & Instacharge Bluetooth Headset  (Black, True Wireless)",4999.0,1899.0,Noise,Airbuds 2,Black,In Ear,Bluetooth
"Boult Audio ProBass Curve Neckband Bluetooth Headset  (Black, Grey, In the Ear)",3499.0,899.0,Boult,Curve Wireless Neckband Magnetic Earphone With Mic,"Black, Grey",In Ear,Bluetooth
"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,ASAP Charge & Quad Mic ENx Bluetooth Headset  (Active Black, Dark Grey, In the Ear)",2990.0,1299.0,boAt,Airdopes 131 Pro,"Active Black, Dark Grey",In Ear,Bluetooth
"Portronics Conch 202,POR 615 Wired Headset  (White, In the Ear)",,699.0,Portronics,"Conch 202,POR 615",White,In Ear,Wired
"Portronics POR-004 Muffs R Bluetooth Headset  (Black, On the Ear)",3999.0,2363.0,Portronics,POR-004 Muffs R,Black,On Ear,Bluetooth
"ZEBRONICS Evolve Bluetooth Headset  (Grey, Black, In the Ear)",1499.0,499.0,ZEBRONICS,Evolve ?Wireless ?in Ear? ?Neckband Earphone? ? (Gray),"Grey, Black",In Ear,Bluetooth
"Portronics Ear 1 Wired Headset  (Black, In the Ear)",599.0,339.0,Portronics,Ear 1,Black,In Ear,Wired
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Jet Black, True Wireless)",3999.0,1499.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Jet Black,In Ear,Bluetooth
"boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hours Playback Bluetooth Headset  (Active Black, In the Ear)",3990.0,1299.0,boAt,Rockerz 255 Pro+/Rockerz 258 Pro+ with ASAP Charge and upto 40 Hours Playback,Active Black,In Ear,Bluetooth
"Noise Air Buds 2 with 40 Hours Playtime, 13mm Driver, Quad Mic with ENC, & Instacharge Bluetooth Headset  (White, True Wireless)",4999.0,1899.0,Noise,Airbuds 2,White,In Ear,Bluetooth
"Skullcandy Dime 2 Bluetooth Headset  (Blue, Grey, True Wireless)",7999.0,2699.0,Skullcandy,S2DBW-P751,"Blue, Grey",In Ear,Bluetooth
"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Technology, and HyperSync Bluetooth Headset  (Pearl White, True Wireless)",2999.0,999.0,Noise,Air Buds Mini Truly Wireless,Pearl White,In Ear,Bluetooth
"boAt Rockerz 450 Pro with Upto 70 Hours Playback Bluetooth Headset  (Luscious Black, On the Ear)",3990.0,1999.0,boAt,Rockerz 450 Pro with Upto 70 Hours Playback,Luscious Black,On Ear,Bluetooth
"PTron Bassbuds Xtreme, Gaming TWS Earbuds, 32hrs Playtime, Clear Calls, Pinch Control Bluetooth Headset  (Blue & Black, In the Ear)",4599.0,1299.0,PTron,Bassbuds Xtreme,Blue & Black,In Ear,Bluetooth
"Boult Audio ProBass XCharge with Zen Tech ENC mic 20H Playtime, Ultra-Fast Charging Bluetooth Headset  (Red, In the Ear)",4999.0,1099.0,Boult,ProBassXcharge Red,Red,In Ear,Bluetooth
"PTron Bassbud Jade Bluetooth Gaming Headset  (Black, True Wireless)",3699.0,1349.0,PTron,Bassbud Jade,Black,In Ear,Bluetooth
"Noise Tune Active Pro with upto 60hrs playtime, ESR, Instacharge and Bluetooth V5.2 Bluetooth Headset  (Jet Black, In the Ear)",2999.0,1199.0,Noise,Tune Active Pro Neckband,Jet Black,In Ear,Bluetooth
"PTron Basspods P681 TWS Earbuds, 28H Playtime, ENC Calls, Deep Bass, BT5.3, TypeC,IPX4 Bluetooth Headset  (Black, In the Ear)",3199.0,999.0,PTron,Basspods P681,Black,In Ear,Bluetooth
"Skullcandy Dime Truly wireless in Ear Earbuds with microphone Bluetooth Headset  (Golden Red, True Wireless)",7499.0,2685.0,Skullcandy,S2DMW-P752,Golden Red,In Ear,Bluetooth
"boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset  (Cherry Black, In the Ear)",2490.0,1599.0,boAt,Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Cherry Black,In Ear,Bluetooth
"Skullcandy CrusherEvo Bluetooth Headset  (Chill Grey, On the Ear)",27999.0,16203.0,Skullcandy,CrusherEvo,Chill Grey,On Ear,Bluetooth
"PTron InTunes Ultima With Mega Bass Bluetooth Headset  (Black, Grey, In the Ear)",2699.0,999.0,PTron,InTunes Ultima,"Black, Grey",In Ear,Bluetooth
"Wings Phantom 250 Gaming TWS Earbuds with 40ms Low Latency, 30 hours playtime Bluetooth Gaming Headset  (Blue, In the Ear)",2999.0,999.0,Wings,"Phantom 250 Gaming TWS Earbuds with 40ms Low Latency, 30 hours playtime",Blue,In Ear,Bluetooth
"Skullcandy Ink'd Plus Wired Headset  (Black, In the Ear)",1765.0,1072.0,Skullcandy,S2IMY-M448,Black,In Ear,Wired
"Skullcandy JIB True Wireless Bluetooth Headset  (Black Orange, True Wireless)",8999.0,2931.0,Skullcandy,Jib TWS,Black Orange,In Ear,Bluetooth
"Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset  (Black, True Wireless)",4999.0,999.0,Boult,XPods,Black,In Ear,Bluetooth
"Skullcandy JIB True Wireless Bluetooth Headset  (Black Orange, True Wireless)",8999.0,2931.0,Skullcandy,Jib TWS,Black Orange,In Ear,Bluetooth
"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Blue, In the Ear)",4499.0,799.0,Boult,ProBass EQCharge,Blue,In Ear,Bluetooth
"Noise Nerve Pro with upto 35hrs of playtime, ESR, Instacharge and Bluetooth v5.2 Bluetooth Headset  (Neon Green, In the Ear)",2799.0,899.0,Noise,Nerve Pro Neckband,Neon Green,In Ear,Bluetooth
"Skullcandy JIB True Wireless Bluetooth Headset  (Golden Red, True Wireless)",8999.0,2999.0,Skullcandy,Jib TWS,Golden Red,In Ear,Bluetooth
"Boult Audio ProBass Escape with Zen Tech ENC mic 10Hrs Playtime, Extra Deep Bass Bluetooth Headset  (Black, In the Ear)",3999.0,899.0,Boult,ProBass Escape,Black,In Ear,Bluetooth
"Skullcandy Sesh S2TDW-M003 True Wireless Bluetooth Headset  (Black, True Wireless)",5999.0,4999.0,Skullcandy,Sesh S2TDW-M003,Black,In Ear,Bluetooth
"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Type-C Bluetooth Headset  (Black, True Wireless)",5999.0,1499.0,Boult,xpods pro,Black,In Ear,Bluetooth
"Portronics Harmonics Twins 25 TWS Earbuds with Active ENC, 27Hrs Playtime Bluetooth Headset  (White, In the Ear)",2499.0,1399.0,Portronics,"Harmonics Twins 25 TWS Earbuds with Active ENC, 27Hrs Playtime",White,In Ear,Bluetooth
"Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset  (White, True Wireless)",4999.0,999.0,Boult,Xpods Wireless Earphones,White,In Ear,Bluetooth
